序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
129,除裤隔渣,习语。指连一点微小的利益也不放过。,coey2fu5 gaag8zaa1,四字组习语,现代粤语词典-1333
130,穿柜桶底,习语。柜子的抽屉底板破漏了，比喻监守自盗：铺头掌柜～，唔怪得月月蚀本啦［店铺掌柜自己偷钱，怪不得每月都亏本了］｜都以为系贼仔入屋偷钱，点知系～［都以为是小偷进家偷钱，谁知是监守自盗］。,cyun1 gwai6tung3dai3,四字组习语,现代粤语词典-1334
131,穿针引线,习语。比喻从中撮合、联系，使双方接通关系：我哋今次嘅合作全靠你～［我们这次合作全靠你从中撮合］。,cyun1zam1 yan4sin5,四字组习语,现代粤语词典-1335
132,床铺被席,习语。床上用品的总称：啲～都洗干净晒喇［铺盖蚊帐全都洗干净了］。,cong2pou1 pei4zeg9,四字组习语,现代粤语词典-1336
133,吹须睩眼,习语。吹胡子、干瞪眼，形容生气的样子：你睇佢恶到～噉［你看他凶得吹胡子瞪眼的］。,coey1sou1 lug7ngaan4,四字组习语,现代粤语词典-1337
134,蠢蠢欲动,习语。指敌人准备进攻或坏人策划破坏活动：敌人已经～，我哋要提高警惕［敌人已准备行动，我们要警惕］。,coen3coen3yug9dung6,四字组习语,现代粤语词典-1338
135,绰绰有余,习语。很宽裕、用不完：买咗咁多嘢食，过一个礼拜～［买了那么多吃的，过一个星期很宽裕的］。,coeg8coeg8yau4yu2,四字组习语,现代粤语词典-1339
136,黐饮黐食,习语。混吃混喝：你做乜成日我度～［你干嘛整天在我这混吃混喝］。,ci1yam3ci1sig9,四字组习语,现代粤语词典-1340
137,瓷不扻瓦,习语。好瓷器不能跟普通瓦罐碰触。比喻有教养的人不应跟蛮横的人发生摩擦：你唔使理佢，～吖嘛［你不用理他，不要跟他一般见识］。,ci2 bad7ham3 ngaa4,四字组习语,现代粤语词典-1341
138,粗口烂舌,习语。满口粗话、脏话：讲嘢唔好～噉，好乞人憎［说话别满口脏字，很令人讨厌的］。,cou1hau3 laan6sid9,四字组习语,现代粤语词典-1342
139,粗身大势,习语。指孕妇身材粗壮的样子：你都～咯，就咪做咁多粗重嘢喇［你都有孕在身了，就别干那么多重活了］。,cou1san1 daai6sai5,四字组习语,现代粤语词典-1343
140,寸步难行,习语。比喻开展某项工作困难重重：冇咗资金支持，项目～［没有了资金支持，项目寸步难行］。,cyun5bou6 naan2hang2,四字组习语,现代粤语词典-1344
141,寸草不生,习语。形容土地贫瘠，或灾情严重：长年干旱导致此地～。,cyun5cou3 bad7sang1,四字组习语,现代粤语词典-1345
142,搓圆揿扁,习语。指态度随和、容易相处，也指缺乏主见或任人摆布：你要有啲主见至得，唔好任人～［你要有点主见才行，不能只随着别人变来变去］｜我唔中意畀人～［我不喜欢让人家随意摆布］。,co1yun2 gam6bin3,四字组习语,现代粤语词典-1346
143,错综复杂,习语。头绪繁多、情况复杂。,co5zung1 fug7zaab9,四字组习语,现代粤语词典-1347
144,耷头耷脑,习语。垂头丧气、精神不振的样子：精神啲，冇～［精神一点儿，别垂头丧气的］。,dab7tau2dab7nou4,四字组习语,现代粤语词典-1348
145,搭句说话,习语。捎个口信；带个话儿：帮我～畀我屋企人［帮我给家里带个口信］。,daab8goey5 syud8waa6,四字组习语,现代粤语词典-1349
146,搭口搭舌,习语。多嘴；插嘴：等人哋讲完先啦，度～［等别人先说完，多嘴］。,daab8hau3 daab8sid9,四字组习语,现代粤语词典-1350
